new_id,ruta_original,original_index,original_id_xml,town,scenario_type,tipo_que_evalua,abilities,distance,speed,flow_speed,source_dist_interval,frequency,bicycle_speed,bicycle_drive_distance,crossing_angle,route_length_m_approx,num_waypoints
16,bench2drive_52,52,3074,Town12,HighwayCutIn,vehículo que invade el carril del ego en carretera/autovía,Merging,,,,,,,,,107.5,26
17,bench2drive_59,59,3144,Town12,VanillaSignalizedTurnEncounterRedLight,giro semaforizado con semáforo rojo,Traffic_Signs,,,,,,,,,50.7,18
18,bench2drive_60,60,3178,Town12,VanillaNonSignalizedTurn,giro no semaforizado sin actor conflictivo principal,Traffic_Signs,,,,,,,,,58.0,17
19,bench2drive_29,29,2416,Town12,VanillaNonSignalizedTurnEncounterStopsign,giro/intersección con señal de stop,Traffic_Signs,,,,,,,,,51.8,17
20,bench2drive_30,30,2509,Town12,ConstructionObstacle,obras/obstáculo estático en el carril propio,Overtaking,45.0,50.0,,,,,,,135.1,68
21,bench2drive_162,162,24816,Town03,Accident,accidente/obstáculo estático en el carril propio,Overtaking,44.0,55.0,,,,,,,126.3,64
22,bench2drive_37,37,2664,Town12,ParkedObstacleTwoWays,obstáculo aparcado en vía bidireccional con tráfico en sentido contrario,Overtaking,44.0,,,,31-151,,,,134.1,68
23,bench2drive_185,185,26396,Town05,StaticCutIn,actor estático o vehículo que invade repentinamente la trayectoria,Emergency_Brake,41.0,,,,,,,,135.8,68
24,bench2drive_41,41,2790,Town12,InvadingTurn,vehículo invadiendo durante el giro; el ego debe ceder,Give_Way,60.0,,,,,,,,100.4,52
25,bench2drive_54,54,3086,Town12,CrossingBicycleFlow,flujo de bicicletas cruzando la trayectoria,Merging; Traffic_Signs,,,8.0,15-29,,,,,78.8,27
26,bench2drive_145,145,24206,Town03,ParkingCrossingPedestrian,peatón cruzando desde zona de aparcamiento/oculto,Emergency_Brake,45.0,,,,,,,6.0,134.0,67
27,bench2drive_167,167,25378,Town03,YieldToEmergencyVehicle,ceder el paso a vehículo de emergencia,Give_Way,30.0,,,,,,,,96.2,49
28,bench2drive_179,179,25951,Town04,HazardAtSideLaneTwoWays,peligro lateral en vía bidireccional con tráfico opuesto,Overtaking,42.0,,,,100,8.0,110.0,,136.3,68
29,bench2drive_178,178,25928,Town11,VehicleOpensDoorTwoWays,puerta abierta/obstáculo lateral en vía bidireccional,Overtaking,49.0,,,,30-90,,,,102.0,52
30,bench2drive_152,152,24330,Town10HD,HardBreakRoute,frenada fuerte ante evento repentino,Emergency_Brake,,,,,,,,,102.3,48
31,bench2drive_154,154,24340,Town10HD,ControlLoss,actor/vehículo con pérdida de control o situación repentina,Emergency_Brake,,,,,,,,,102.3,48
32,bench2drive_105,105,4468,Town12,SignalizedJunctionLeftTurn,giro a la izquierda en intersección regulada con flujo,Merging; Traffic_Signs,,,11.0,24-28,,,,,74.5,29
33,bench2drive_203,203,27529,Town04,PedestrianCrossing,peatón cruzando la trayectoria,Emergency_Brake; Traffic_Signs,,,,,,,,,66.5,26
34,bench2drive_182,182,25975,Town07,VanillaSignalizedTurnEncounterGreenLight,giro semaforizado con semáforo verde,Traffic_Signs,,,,,,,,,48.9,17
35,bench2drive_117,117,17563,Town12,SequentialLaneChange,cambio de carril secuencial,Merging,,,,,,,,,117.2,24
36,bench2drive_122,122,17752,Town12,DynamicObjectCrossing,objeto/actor dinámico cruzando la trayectoria,Emergency_Brake,42.0,,,,,,,11.0,134.1,68
37,bench2drive_129,129,23659,Town12,HighwayExit,salida/incorporación en carretera con flujo de actores,Merging,,,10.0,20-40,,,,,100.1,27
38,bench2drive_134,134,23708,Town12,InterurbanAdvancedActorFlow,flujo interurbano avanzado con interacción lateral,Merging,,,16.0,42-91,,,,,148.3,28
39,bench2drive_135,135,23771,Town12,MergerIntoSlowTrafficV2,incorporación a tráfico lento versión 2,Merging,,,10.0,11-33,,,,,145.9,25
40,bench2drive_137,137,23910,Town12,InterurbanActorFlow,flujo de actores en vía interurbana,Merging,,,16.0,49-86,,,,,106.3,26
41,bench2drive_193,193,26458,Town07,T_Junction,intersección en T,Traffic_Signs,,,,,,,,,72.6,27
42,bench2drive_208,208,28087,Town04,NonSignalizedJunctionLeftTurnEnterFlow,giro no semaforizado a la izquierda entrando en flujo,Merging; Traffic_Signs,,,10.0,19-26,,,,,75.2,27
43,bench2drive_210,210,28099,Town04,SignalizedJunctionLeftTurnEnterFlow,giro semaforizado a la izquierda entrando en flujo,Merging; Traffic_Signs,,,8.0,24-28,,,,,80.4,29
